date,year,month,total,anthro,nat,co2,wmghg,aero,o3Tr,o3St,luc,solar,volc
1750,1750,1,0,0,0,0,0,0,0,0,0,0,0
1750.08,1750,2,-0.0025,-0.0017,-0.0008,-0.0017,0,0,0,0,0,-0.0008,0
1750.17,1750,3,-0.005,-0.0033,-0.0017,-0.0033,0,0,0,0,0,-0.0017,0
1750.25,1750,4,-0.0075,-0.005,-0.0025,-0.005,0,0,0,0,0,-0.0025,0
1750.33,1750,5,-0.01,-0.0066,-0.0033,-0.0066,0,0,0,0,0,-0.0033,0
1750.42,1750,6,-0.0125,-0.0083,-0.0042,-0.0083,0,0,0,0,0,-0.0042,0
1750.5,1750,7,-0.0149,-0.01,-0.005,-0.01,0,0,0,0,0,-0.005,0
1750.58,1750,8,-0.0174,-0.0116,-0.0058,-0.0116,0,0,0,0,0,-0.0058,0
1750.67,1750,9,-0.0199,-0.0133,-0.0066,-0.0133,0,0,0,0,0,-0.0066,0
1750.75,1750,10,-0.0224,-0.0149,-0.0075,-0.0149,0,0,0,0,0,-0.0075,0
1750.83,1750,11,-0.0249,-0.0166,-0.0083,-0.0166,0,0,0,0,0,-0.0083,0
1750.92,1750,12,-0.0274,-0.0183,-0.0091,-0.0183,0,0,0,0,0,-0.0091,0
1751,1751,1,-0.0299,-0.0199,-0.01,-0.0199,0,0,0,0,0,-0.01,0
1751.08,1751,2,-0.0307,-0.0191,-0.0116,-0.02,0.0009,0,0,0,0,-0.0116,0
1751.17,1751,3,-0.0314,-0.0182,-0.0133,-0.02,0.0018,0,0,0,0,-0.0133,0
1751.25,1751,4,-0.0322,-0.0173,-0.0149,-0.02,0.0027,0,0,0,0,-0.0149,0
1751.33,1751,5,-0.0329,-0.0164,-0.0166,-0.02,0.0036,0,0,0,0,-0.0166,0
1751.42,1751,6,-0.0337,-0.0154,-0.0182,-0.02,0.0046,0,0,0,0,-0.0182,0
1751.5,1751,7,-0.0344,-0.0145,-0.0199,-0.02,0.0055,0,0,0,0,-0.0199,0
1751.58,1751,8,-0.0351,-0.0136,-0.0216,-0.02,0.0064,0,0,0,0,-0.0216,0
1751.67,1751,9,-0.0359,-0.0127,-0.0232,-0.02,0.0073,0,0,0,0,-0.0232,0
1751.75,1751,10,-0.0366,-0.0117,-0.0249,-0.02,0.0083,0,0,0,0,-0.0249,0
1751.83,1751,11,-0.0374,-0.0108,-0.0265,-0.02,0.0092,0,0,0,0,-0.0265,0
1751.92,1751,12,-0.0381,-0.0099,-0.0282,-0.02,0.0101,0,0,0,0,-0.0282,0
1752,1752,1,-0.0388,-0.009,-0.0299,-0.02,0.011,0,0,0,0,-0.0299,0
1752.08,1752,2,-0.0397,-0.0097,-0.03,-0.02,0.0111,-0.0008,0,0,0,-0.03,0
1752.17,1752,3,-0.0405,-0.0105,-0.03,-0.02,0.0111,-0.0016,0,0,0,-0.03,0
1752.25,1752,4,-0.0413,-0.0113,-0.03,-0.02,0.0111,-0.0024,0,0,0,-0.03,0
1752.33,1752,5,-0.0422,-0.0122,-0.03,-0.02,0.0111,-0.0033,0,0,0,-0.03,0
1752.42,1752,6,-0.043,-0.013,-0.03,-0.02,0.0111,-0.0041,0,0,0,-0.03,0
1752.5,1752,7,-0.0438,-0.0138,-0.03,-0.02,0.0111,-0.0049,0,0,0,-0.03,0
1752.58,1752,8,-0.0446,-0.0146,-0.03,-0.02,0.0111,-0.0057,0,0,0,-0.03,0
