,Time (year.decimal),Antarctic mass (Gigatonnes)
0,2002.29,0.0
1,2002.35,19.01
2,2002.62,-59.36
3,2002.71,46.55
4,2002.79,63.31
5,2002.87,-67.75
6,2002.96,-49.56
7,2003.04,-48.56
8,2003.12,-199.83
9,2003.2,-171.31
10,2003.29,-43.52
11,2003.36,0.5
12,2003.54,-128.79
13,2003.62,-122.45
14,2003.71,-131.12
15,2003.79,-48.11
16,2003.87,-107.39
17,2003.96,-272.93
18,2004.02,-330.22
19,2004.13,-492.36
20,2004.21,-341.17
21,2004.29,-386.9
22,2004.37,-156.18
23,2004.46,-188.71
24,2004.54,-314.17
25,2004.62,-166.67
26,2004.71,-161.6
27,2004.79,-86.44
28,2004.87,-226.51
29,2004.96,-306.21
30,2005.04,-394.87
31,2005.12,-456.04
32,2005.2,-405.94
33,2005.29,-252.26
34,2005.37,-229.5
35,2005.46,-204.37
36,2005.54,-159.45
37,2005.62,-209.88
38,2005.71,-113.24
39,2005.79,-106.25
40,2005.87,-59.27
41,2005.96,-159.19
42,2006.04,-225.4
43,2006.12,-318.67
44,2006.2,-183.86
45,2006.29,-159.19
46,2006.37,-81.91
47,2006.45,-49.3
48,2006.54,-99.35
49,2006.62,-9.56
50,2006.71,-20.72
51,2006.79,-96.93
52,2006.87,-90.08
53,2006.96,-235.16
54,2007.04,-439.51
55,2007.12,-430.48
56,2007.2,-361.88
57,2007.29,-337.3
58,2007.37,-180.15
59,2007.45,-192.19
60,2007.54,-268.88
61,2007.62,-230.55
62,2007.71,-157.46
63,2007.79,-247.03
64,2007.87,-438.95
65,2007.96,-522.03
66,2008.04,-730.6
67,2008.12,-608.35
68,2008.21,-741.65
69,2008.29,-562.38
70,2008.37,-474.45
71,2008.46,-558.48
72,2008.54,-652.03
73,2008.62,-604.1
74,2008.71,-442.84
75,2008.79,-534.23
76,2008.87,-520.67
77,2008.96,-624.9
78,2009.04,-707.64
79,2009.12,-681.78
80,2009.2,-617.62
81,2009.29,-580.68
82,2009.37,-554.01
83,2009.46,-540.86
84,2009.54,-436.45
85,2009.62,-467.44
86,2009.71,-481.24
87,2009.79,-536.25
88,2009.87,-521.78
89,2009.96,-631.59
90,2010.04,-802.55
91,2010.12,-807.48
92,2010.2,-688.27
93,2010.29,-759.4
94,2010.37,-781.19
95,2010.45,-793.67
96,2010.54,-997.74
97,2010.62,-926.78
98,2010.71,-848.35
99,2010.79,-880.11
100,2010.87,-900.67
101,2010.95,-913.22
102,2011.13,-1001.92
103,2011.2,-1018.42
104,2011.29,-1031.24
105,2011.37,-966.07
106,2011.54,-910.95
107,2011.62,-927.16
108,2011.71,-839.44
109,2011.79,-885.01
110,2011.83,-880.8
111,2012.0,-1148.76
112,2012.04,-1079.08
113,2012.12,-1141.83
114,2012.21,-1119.12
115,2012.26,-1057.4
116,2012.46,-1095.22
117,2012.54,-1062.38
118,2012.62,-983.33
119,2012.7,-947.5
120,2012.88,-1069.96
121,2012.96,-1118.63
122,2013.04,-1288.66
123,2013.12,-1396.2
124,2013.3,-1136.23
125,2013.37,-1239.62
126,2013.46,-1247.74
127,2013.54,-1209.53
128,2013.79,-1300.75
129,2013.87,-1348.32
130,2013.96,-1399.13
131,2014.02,-1505.54
132,2014.2,-1616.95
133,2014.29,-1536.67
134,2014.37,-1443.0
135,2014.45,-1486.11
136,2014.62,-1534.57
137,2014.71,-1361.85
138,2014.79,-1451.81
139,2014.88,-1526.96
140,2015.06,-1828.77
141,2015.12,-1904.78
142,2015.2,-1874.65
143,2015.29,-1852.49
144,2015.32,-1779.57
145,2015.53,-1743.98
146,2015.62,-1898.86
147,2015.7,-1850.57
148,2015.98,-1894.73
149,2016.04,-1918.19
150,2016.12,-1994.93
151,2016.21,-1929.52
152,2016.38,-1791.91
153,2016.46,-1775.71
154,2016.54,-1655.45
155,2016.64,-1601.14
156,2016.91,-1673.0
157,2016.98,-1586.03
158,2017.06,-1606.07
159,2017.25,-1930.97
160,2017.31,-1850.12
161,2017.36,-1814.76
162,2017.44,-1814.23
163,2018.45,-1983.92
164,2018.52,-1998.93
165,2018.83,-2258.11
166,2018.87,-2222.88
167,2018.96,-2276.0
168,2019.04,-2366.68
169,2019.12,-2409.94
170,2019.2,-2313.87
171,2019.29,-2133.48
172,2019.37,-2186.05
173,2019.45,-2278.18
174,2019.54,-2182.64
175,2019.62,-2228.25
176,2019.71,-2103.72
177,2019.79,-2286.82
178,2019.87,-2347.87
179,2019.96,-2394.12
180,2020.04,-2703.56
181,2020.12,-2809.24
182,2020.21,-2629.64
183,2020.29,-2537.27
184,2020.37,-2458.89
185,2020.46,-2427.12
186,2020.54,-2360.42
187,2020.62,-2253.43
188,2020.71,-2441.43
189,2020.79,-2542.18
190,2020.87,-2593.06
191,2020.96,-2751.98
192,2021.04,-3070.67
193,2021.12,-2755.94
