Time (year.decimal),Antarctic mass (Gigatonnes),Antarctic mass 1-sigma uncertainty (Gigatonnes)
2002.29,0.00,178.90
2002.35,19.01,102.47
2002.62,-59.36,83.09
2002.71,46.55,97.19
2002.79,63.31,61.82
2002.87,-67.75,58.68
2002.96,-49.56,59.19
2003.04,-48.56,64.73
2003.12,-199.83,48.10
2003.20,-171.31,42.95
2003.29,-43.52,43.58
2003.36,0.50,48.24
2003.54,-128.79,37.86
2003.62,-122.45,39.87
2003.71,-131.12,39.61
2003.79,-48.11,40.19
2003.87,-107.39,40.89
2003.96,-272.93,39.82
2004.02,-330.22,43.72
2004.13,-492.36,40.46
2004.21,-341.17,37.97
2004.29,-386.90,37.56
2004.37,-156.18,38.36
2004.46,-188.71,37.47
2004.54,-314.17,34.08
2004.62,-166.67,35.44
2004.71,-161.60,36.20
2004.79,-86.44,33.33
2004.87,-226.51,36.02
2004.96,-306.21,35.33
2005.04,-394.87,33.76
2005.12,-456.04,35.22
2005.20,-405.94,34.97
2005.29,-252.26,34.30
2005.37,-229.50,35.04
2005.46,-204.37,35.16
2005.54,-159.45,33.88
2005.62,-209.88,34.19
2005.71,-113.24,33.91
2005.79,-106.25,33.17
2005.87,-59.27,33.08
2005.96,-159.19,38.45
2006.04,-225.40,34.46
2006.12,-318.67,35.03
2006.20,-183.86,35.19
2006.29,-159.19,35.23
2006.37,-81.91,35.51
2006.45,-49.30,37.90
2006.54,-99.35,37.37
2006.62,-9.56,36.14
2006.71,-20.72,37.96
2006.79,-96.93,37.00
2006.87,-90.08,36.85
2006.96,-235.16,37.92
2007.04,-439.51,38.38
2007.12,-430.48,37.94
2007.20,-361.88,37.66
2007.29,-337.30,37.77
2007.37,-180.15,37.57
2007.45,-192.19,38.38
2007.54,-268.88,37.52
2007.62,-230.55,39.45
2007.71,-157.46,39.17
2007.79,-247.03,39.51
2007.87,-438.95,40.82
2007.96,-522.03,39.77
2008.04,-730.60,39.43
2008.12,-608.35,41.45
2008.21,-741.65,40.25
2008.29,-562.38,42.17
2008.37,-474.45,40.75
2008.46,-558.48,40.38
2008.54,-652.03,40.84
2008.62,-604.10,40.15
2008.71,-442.84,40.44
2008.79,-534.23,39.48
2008.87,-520.67,40.89
2008.96,-624.90,40.43
2009.04,-707.64,39.60
2009.12,-681.78,39.72
2009.20,-617.62,39.33
2009.29,-580.68,36.58
2009.37,-554.01,35.97
2009.46,-540.86,35.73
2009.54,-436.45,36.75
2009.62,-467.44,34.71
2009.71,-481.24,33.67
2009.79,-536.25,33.92
2009.87,-521.78,33.46
2009.96,-631.59,33.43
2010.04,-802.55,33.03
2010.12,-807.48,32.76
2010.20,-688.27,34.51
2010.29,-759.40,32.20
2010.37,-781.19,32.63
2010.45,-793.67,38.44
2010.54,-997.74,35.63
2010.62,-926.78,34.62
2010.71,-848.35,36.40
2010.79,-880.11,38.44
2010.87,-900.67,39.59
2010.95,-913.22,40.67
2011.13,-1001.92,43.16
2011.20,-1018.42,41.62
2011.29,-1031.24,41.22
2011.37,-966.07,40.16
2011.54,-910.95,42.75
2011.62,-927.16,40.50
2011.71,-839.44,39.71
2011.79,-885.01,38.98
2011.83,-880.80,39.28
2012.00,-1148.76,39.05
2012.04,-1079.08,37.63
2012.12,-1141.83,38.79
2012.21,-1119.12,37.12
2012.26,-1057.40,43.32
2012.46,-1095.22,39.99
2012.54,-1062.38,38.80
